,not_blank_or_descriptive_lines
2163,"Took her to the 'Bleau, she tried to sip the fountain
"
2164,"That when David Grutman kicked her out
"
2165,"But I got her back in and put my dick in her mouth
"
2166,"On sight, on sight
"
2167,"Uh-huh
"
2168,"Uh-huh
"
2169,"Uh-huh
"
2170,"Uh-huh
"
2171,"Right now
"
2172,"I need right now
"
2173,"Right now
"
2174,"I need, I need right now
"
2175,"Right now
"
2176,"I need, I need right now
"
2177,"For my theme song (Black)
"
2178,"My leather black jeans on (Black)
"
2179,"My by-any-means on
"
2180,"Pardon, I'm getting my scream on (Black)
"
2181,"Enter the kingdom (Black)
"
2182,"But watch who you bring home
"
2183,"They see a black man with a white woman
"
2184,"At the top floor they gone come to kill King Kong
"
2185,"Middle America packed in (Black)
"
2186,"Came to see me in my black skin (Black)
"
2187,"Number one question they're askin'
"
2188,"Fuck every question you askin' (Black)
"
2189,"If I don't get ran out by Catholics (Black)
"
2190,"Here come some conservative Baptists
"
2191,"Claiming I'm overreactin'
"
2192,"Like them black kids in Chiraq, bitch
"
2193,"Four in the mornin', and I'm zonin'
"
2194,"They say I'm possessed, it's an omen
"
2195,"I keep it 300, like the Romans
"
2196,"300 bitches, where the Trojans?
"
2197,"Baby, we livin' in the moment
"
2198,"I've been a menace for the longest
"
2199,"But I ain't finished, I'm devoted
"
2200,"And you know it, and you know it
"
2201,"So follow me up cause this shit 'bout to go (Down)
"
2202,"I'm doing 500, I'm outta control (Now)
"
2203,"But there's nowhere to go (Now)
"
2204,"And there's no way to slow (Down)
"
2205,"If I knew what I knew in the past
"
2206,"I would've been blacked out on your ass
"
2207,"Four in the mornin', and I'm zonin'
"
2208,"They say I'm possessed, it's an omen
"
2209,"I keep it 300, like the Romans
"
2210,"300 bitches, where the Trojans?
"
2211,"Baby, we livin' in the moment
"
2212,"I've been a menace for the longest
"
2213,"But I ain't finished, I'm devoted
"
2214,"And you know it, and you know it
"
2215,"Stop all that coon shit (Black)
"
2216,"Early morning cartoon shit (Black)
"
2217,"This is that goon shit
"
2218,"Fuck up your whole afternoon shit
"
2219,"I'm aware I'm a wolf
"
2220,"Soon as the moon hit
"
2221,"I'm aware I'm a king
"
2222,"Back out the tomb, bitch (Black)
"
2223,"Black out the room, bitch (Black)
"
2224,"Stop all that coon shit (Black)
"
2225,"These niggas ain't doin' shit (Black)
"
2226,"Them niggas ain't doin' shit
"
2227,"Come on, homie, what happened?
"
2228,"You niggas ain't breathin', you gaspin'
"
2229,"These niggas ain't ready for action
"
2230,"Ready—ready for action—action
"
2231,"Four in the mornin', and I'm zonin'
"
2232,"I think I'm possessed, it's an omen
"
2233,"I keep it 300 like the Romans
"
2234,"300 bitches, where the Trojans?
"
2235,"Baby, we livin' in the moment
"
2236,"I've been a menace for the longest
"
2237,"But I ain't finished, I'm devoted
"
2238,"And you know it, and you know it
"
2239,"So follow me up cause this shit 'bout to go (Down)
"
2240,"I'm doing 500, I'm outta control (Now)
"
2241,"But there's nowhere to go (Now)
"
2242,"And there's no way to slow (Down)
"
2243,"If I knew what I knew in the past
"
2244,"I would've been blacked out on your ass
"
2245,"God! God! God! God!
"
2246,"God! God! God! God!
"
2247,"God! God! God!
"
2248,"""Blazin, mi don't want dem
"
2249,"Mi need dem
"
2250,"Blazin""
"
2251,"""Suh mi tek har outta bugah red and put her in a tall skirt
"
2252,"And now she find out what life is really worth
"
2253,"No to X rated""
"
2254,"""Yo mi tek har outta bugah red and put her in a tall skirt
"
2255,"And now she find out what life is really worth
"
2256,"No to X rated""
"
2257,"I am a god
"
2258,"I am a god
"
2259,"I am a god
"
2260,"I am a god
"
2261,"Hurry up with my damn massage
"
2262,"Hurry up with my damn ménage
"
2263,"Get the Porsche out the damn garage
"
2264,"I am a god
"
2265,"Even though I'm a man of God
"
2266,"My whole life in the hand of God
"
2267,"So y'all better quit playin' with God
"
2268,"Soon as they like you make 'em unlike you
"
2269,"Cause kissin' people ass is so unlike you
"
2270,"The only rapper compared to Michael
"
2271,"So here's a few hatin'-ass niggas to fight you
"
2272,"And here's a few snake-ass niggas to bite you
"
2273,"And I don't even wanna hear 'bout what niggas might do
"
2274,"Old niggas mentally still in high school
"
2275,"Since the tight jeans they ain't never liked you
"
2276,"Pink-ass polos with a fuckin' backpack
"
2277,"But everybody know you brought real rap back
"
2278,"Nobody had swag, man, we the Rat Pack
"
2279,"Virgil, Pyrex, Don C snapback
"
2280,"Ibn diamond, Chi-town shinin'
"
2281,"Monop' in this bitch again, changed the climate
"
2282,"Hop in this bitch to give Saint the garment
"
2283,"Until the day I get struck by lightning
"
2284,"I am a god
"
2285,"So hurry up with my damn massage
"
2286,"In a French-ass restaurant
"
2287,"Hurry up with my damn croissants
"
2288,"I am a god
"
2289,"I am a god
"
2290,"I am a god
"
2291,"AHH!
"
2292,"AHH!
"
2293,"I just talked to Jesus
"
2294,"He said, ""What up, Yeezus?""
"
2295,"I said, ""Shit—I'm chillin'
"
2296,"Tryna stack these millions""
"
2297,"I know he the most high
"
2298,"But I am a close high
"
2299,"Mi casa, su casa
"
2300,"That's our cosa nostra
"
2301,"I am a god
"
2302,"I am a god
"
2303,"I am a god
"
2304,"AHH!
"
2305,"AHH!
"
2306,"AHH!
"
2307,"AHH!
"
2308,"Ain't no way I'm givin' up. I'm a god
"
2309,"Chill, chill, chill, chill, chill, chill
"
2310,"Chill, chill, chill, chill, chill, chill
"
2311,"My mama was raised in the era when
"
2312,"Clean water was only served to the fairer skin
"
2313,"Doin' clothes, you woulda thought I had help
"
2314,"But they wasn't satisfied unless I picked the cotton myself
"
2315,"You see it's broke nigga racism
"
2316,"That's that ""Don't touch anything in the store""
"
2317,"And it's rich nigga racism
"
2318,"That's that ""Come in, please buy more""
"
2319,"""What you want, a Bentley? Fur coat? A diamond chain?
"
2320,"All you blacks want all the same things""
"
2321,"Used to only be niggas, now everybody playin'
"
2322,"Spendin' everything on Alexander Wang
"
2323,"New slaves
"
2324,"You see it's leaders and it's followers
"
2325,"But I'd rather be a dick than a swallower
"
2326,"You see it's leaders and it's followers
"
2327,"But I'd rather be a dick than a swallower
"
2328,"I throw these Maybach keys, I wear my heart on the sleeve
"
2329,"I know that we the new slaves, I see the blood on the leaves
"
2330,"I see the blood on the leaves, I see the blood on the leaves
"
2331,"I know that we the new slaves, I see the blood on the leaves
"
2332,"They throwin' hate at me, want me to stay at ease
"
2333,"Fuck you and your corporation, y'all niggas can't control me
"
2334,"I know that we the new slaves, I know that we the new slaves
"
2335,"I'm 'bout to wild the fuck out, I'm goin' Bobby Boucher
"
2336,"I know that pussy ain't free, you niggas pussy, ain't me
"
2337,"Y'all throwin' contracts at me, you know that niggas can't read
"
2338,"Throw on some Maybach keys, fuck it, c'est la vie
"
2339,"I know that we the new slaves, y'all niggas can't fuck with me
"
2340,"Y'all niggas can't fuck with Ye, y'all niggas can't fuck with Ye
"
2341,"I'll move my family out the country so you can't see where I stay
"
2342,"So go and grab the reporters, so I can smash their recorders
"
2343,"See, they'll confuse us with some bullshit like the New World Order
"
2344,"Meanwhile the DEA teamed up with the CCA
"
2345,"They tryna lock niggas up, they tryna make new slaves
"
2346,"See, that's that privately owned prison, get your piece today
"
2347,"They prolly all in the Hamptons, braggin' 'bout what they made
"
2348,"Fuck you and your Hampton house, I'll fuck your Hampton spouse
"
2349,"Came on her Hampton blouse and in her Hampton mouth
"
2350,"Y'all 'bout to turn shit up, I'm 'bout to tear shit down
"
2351,"I'm 'bout to air shit out, now what the fuck they gon' say now?
"
2352,"I won't end this high, not this time again
"
2353,"So long, so long, so long, you cannot survive
"
2354,"And I'm not dyin', and I can't lose
"
2355,"I can't lose, no, I can't lose
"
2356,"'Cause I can't leave it to you
"
2357,"So let's get too high, get too high again
"
2358,"Too high again, too high, ooh hoo-hoo-hoo, woo
"
2359,"Yeah, h-h-h-high, h-high-high, high-high high-igh-high-high
"
2360,"H-high-igh, yeah, high, high-igh
"
2361,"Egyszer a Nap úgy elfáradt (mhm-igh)
"
2362,"Elaludt mély zöld tó ölén
"
2363,"Az embereknek fájt a sötét
"
2364,"Ő megsajnált, eljött közénk
"
2365,"I can hold my liquor
"
2366,"But this man can’t handle his weed
"
2367,"Dark and lonely now
"
2368,"On Chicago, south of town
"
2369,"I'm on to Indiana
"
2370,"I heard it in the radio now
"
2371,"I can't handle no liquor
"
2372,"But these bitches can't handle me
"
2373,"I can't control my niggas
"
2374,"And my niggas they can't control me
"
2375,"You say you know me, my nigga
"
2376,"But you really just know the old me
"
2377,"Bitch, I'm back out my coma
"
2378,"Wakin' up on your sofa
"
2379,"When I park my Range Rover
"
2380,"Slightly scratch your Corolla
"
2381,"Okay, I smashed your Corolla
"
2382,"I'm hangin' on a hangover
"
2383,"Five years we been over
"
2384,"Ask me why I came over
"
2385,"One more hit and I can own ya
"
2386,"One more fuck and I can own ya
"
2387,"One cold night in October
"
2388,"Pussy had me floatin'
"
2389,"Feel like Deepak Chopra
"
2390,"Pussy had me dead
"
2391,"Might call 2Pac over
"
2392,"Yeezy's all on your sofa
"
2393,"These the Red Octobers
"
2394,"Still ain't learn me no manners
"
2395,"You love me when I ain't sober
"
2396,"You love me when I'm hungover
"
2397,"Even when I blow doja
"
2398,"Then her auntie came over
"
2399,"Skinny bitch with no shoulders
"
2400,"Tellin' you that I'm bogus
"
2401,"Bitch, you don't even know us
"
2402,"""Baby girl, he's a loner""
"
2403,"""Baby girl, he's a loner""
"
2404,"Late-night organ donor
"
2405,"After that, he disown ya
"
2406,"After that he's just hopeless
"
2407,"Soul mates become soulless
"
2408,"""When it's over it's over""
"
2409,"And bitch, I'm back out my coma
"
2410,"Callin' up your uncle's place
"
2411,"Shit's all over the place
"
2412,"I don't hear your phone
"
2413,"Ohhh, I wanna phone home
"
2414,"I can't handle no liquor
"
2415,"But these bitches can't handle me
"
2416,"I can't control my niggas
"
2417,"And my niggas they can't control me
"
2418,"You say you know me, my nigga
"
2419,"But you really just know the old me
"
2420,"I heard you need a new fad (A new girl)
"
2421,"I heard you need a new stack (A new girl)
"
2422,"I heard you need a new phone (A new girl)
"
2423,"I know your 'rents ain't be home (A new girl)
"
2424,"Callin' up your uncle's place
"
2425,"Shit's all over the place
"
2426,"I don't hear your phone
"
2427,"Ohhh, I wanna phone home
"
2428,"Damn, your lips very soft
"
2429,"As I turn my Blackberry off
"
2430,"And I turn your bathwater on
"
2431,"And you turn off your iPhone
"
2432,"Careless whispers, eye fuckin', bitin' ass
"
2433,"Neck, ears, hair, legs, eating ass
"
2434,"Your pussy's too good, I need to crash
"
2435,"Your titties, let 'em out, free at last
"
2436,"Thank God almighty, they free at last
"
2437,"We was up at the party but we was leavin' fast
"
2438,"Had to stop at 7-Eleven like I needed gas
"
2439,"I'm lyin', I needed condoms, don't look through the glass
"
2440,"Chasin' love, all the bittersweet hours lost
"
2441,"Eatin' Asian pussy, all I need was sweet and sour sauce
"
2442,"Tell your boss you need an extra hour off
"
2443,"Get you super wet after we turn the shower off
"
2444,"That's all dem can do (Say wah? Say wah? Say wah? Say wah?)
"
2445,"That's all dem can do
"
2446,"We deal with action ting
"
2447,"Just a badman ting a-dat man do
"
2448,"Action ting, yo, a badman ting
"
2449,"I'm a badman if you know say
"
2450,"Disrespect we no tek, no way José
"
2451,"Try that 'pon February the 30th
"
2452,"That's right, couldn't try that no day
"
2453,"When we roll 'round 'pon your block
"
2454,"Nuh badda feel seh we won't spray, like a aerosol can
"
2455,"When we roll 'round 'pon your block
"
2456,"Nuh badda feel seh we won't spray, like an aerosol can
"
2457,"We a gon' smile 'pon court day
"
2458,"Becuh we beat murder charge like O.J
"
2459,"That’s right, I’m in it
"
2460,"(Should’ve known I would fall)
"
2461,"I’m in it
"
2462,"(Steppin' on cracks on the floor)
"
2463,"That’s right
"
2464,"(And your boys at your door)
"
2465,"That’s right, I’m in it
"
2466,"(Well, you need to fight for your own)
"
2467,"That’s right, I’m in it
"
2468,"(Then don’t let me at your table)
"
2469,"I’m in it
"
2470,"(If you just gonna lay there)
"
2471,"Damn right
"
2472,"(Fist jumps in the air, you love flame wars)
"
2473,"(I'll be gone long, grab that ass, shed your clothes)
"
2474,"Uh, picked up where we left off
"
2475,"Uh, I need you home when I get off
"
2476,"Uh, you know I need that wet mouth
"
2477,"Uh, I know you need that reptile
"
2478,"Uh, she cut from a different textile
"
2479,"Uh, she love different kinds of sex now
"
2480,"Uh, black girl sippin' white wine
"
2481,"Put my fist in her like a civil rights sign
"
2482,"And grabbed it with a slight grind
"
2483,"And held it 'til the right time
"
2484,"Then she came like AAAAAHHH!
"
2485,"That's why I'm in it and I can't get out
"
2486,"That's all dem can do (Say wah? Say wah? Say wah? Say wah?)
"
2487,"That's why I'm in it and I can't get out
"
2488,"(That's all dem can do)
"
2489,"That's all dem can do
"
2490,"We deal with action ting
"
2491,"Just a badman ting a-dat man do
"
2492,"That's right I'm in it
"
2493,"I'll be gone long, grab that ass, shed your clothes
"
2494,"Say you long for me, for you
"
2495,"Lay it off with all your rules
"
2496,"Star fucker
"
2497,"Star fucker
"
2498,"Star fucker
"
2499,"Who, where?
"
2500,"Time to take it too far now
"
2501,"Uh, Michael Douglas out the car now
"
2502,"Uh, got the kids-and-the-wife life
"
2503,"Uh, but can't wake up from the nightlife
"
2504,"Uh, I'm so scared of my demons
"
2505,"Uh, I go to sleep with a nightlight
"
2506,"Uh, my mind move like a Tron bike
"
2507,"Uh, pop a wheelie on the Zeitgeist
"
2508,"Uh, I'm finna start a new movement
"
2509,"Uh, being led by the drums
"
2510,"Uh, I'm a rap-lic priest
"
2511,"Uh, gettin' head by the nuns
"
2512,"Uh, they don't play what I'm playin'
"
2513,"Uh, they don't see what I'm sayin'
"
2514,"Uh, they be ballin' in the D-League
"
2515,"Uh, I be speakin' Swaghili
"
2516,"Strange fruit hangin' from the poplar trees
"
